style_code,sku_id,product_name,colorway,system_category,sport_type,gender_target,retail_price_lbp,retail_price_usd,original_retail_price_lbp,original_retail_price_usd,cost_price_usd,gross_margin_pct,num_sizes,initial_stock,is_currently_on_sale,current_discount_pct,competitor_signal,price_gap_pct,price_gap_usd,is_dead_stock_candidate,replenishment_mode,lead_time_days,sell_period_days,collection_type,fx_rate_used,fx_date
KD1360,SKU-KD1360,"Monogram Infill 3S T-Shirt, White",White,sportswear,training,men,4860000.0,54.0,4860000.0,54.0,25.23,0.5328,5,20,False,0.0,neutral,0.0097,0.52,False,local_distributor,7,461,core,90000,2026-04-05/06 snapshot
GM5619,SKU-GM5619,"Essentials Relaxed Logo Hoodie, Pink",Pink,sportswear,training,men,6840000.0,76.0,8522100.0,94.69,46.62,0.5077,4,16,True,19.74,neutral,-0.0186,-1.41,False,local_distributor,7,483,seasonal,90000,2026-04-05/06 snapshot
IL7185,SKU-IL7185,"Ultimateadidas Allover Print Jacket, Black",Black,sportswear,training,men,15840000.0,176.0,24455700.0,271.73,125.07,0.5397,3,12,True,35.23,premium,0.0399,7.02,False,local_distributor,21,487,seasonal,90000,2026-04-05/06 snapshot
KA0250,SKU-KA0250,"Kids Unisex Adidas Minecraft Training Jogger, Grey",Grey,sportswear,training,unisex,7920000.0,88.0,7920000.0,88.0,42.63,0.5156,4,16,False,0.0,neutral,-0.0263,-2.31,False,local_distributor,17,400,core,90000,2026-04-05/06 snapshot
JC9774,SKU-JC9774,"Unisex Kids Essentials T-Shirt, White",White,sportswear,training,kids,2340000.0,26.0,2340000.0,26.0,12.37,0.5242,3,18,False,0.0,premium,0.04,1.0,False,local_distributor,12,460,core,90000,2026-04-05/06 snapshot
HN1609,SKU-HN1609,"Mission Victory Slim-Fit High-Waist Tracksuit Bottoms, White",White,sportswear,training,women,8550000.0,95.0,16920900.0,188.01,89.04,0.5264,3,18,True,49.47,premium,0.0385,3.66,False,local_distributor,8,434,seasonal,90000,2026-04-05/06 snapshot
IL5427,SKU-IL5427,"Sportswear Photo Real Two-Tone T-Shirt, Green",Green,sportswear,training,men,3960000.0,44.0,7920000.0,88.0,41.03,0.5337,1,2,True,50.0,neutral,0.0252,1.11,True,never,0,1419,seasonal,90000,2026-04-05/06 snapshot
HT2172,SKU-HT2172,"Tailored Hiit Luxe Training Leggings, Black",Black,sportswear,training,women,14310000.0,159.0,35552700.0,395.03,196.84,0.5017,1,5,True,59.75,neutral,-0.0266,-4.23,True,never,0,1260,seasonal,90000,2026-04-05/06 snapshot
JF8502,SKU-JF8502,"Club Tennis Climacool T-Shirt, Black",Black,sportswear,training,men,4860000.0,54.0,4860000.0,54.0,24.13,0.5531,5,25,False,0.0,neutral,0.0,0.0,False,local_distributor,17,381,core,90000,2026-04-05/06 snapshot
JZ7700,SKU-JZ7700,"Adi365 Climacool T-Shirt, Orange",Orange,sportswear,training,men,4860000.0,54.0,4860000.0,54.0,23.08,0.5726,4,20,False,0.0,neutral,0.0,0.0,False,local_distributor,18,426,core,90000,2026-04-05/06 snapshot
KD8792,SKU-KD8792,"Pleather Jacket, Red",Red,sportswear,training,women,24300000.0,270.0,24300000.0,270.0,115.49,0.5723,1,7,False,0.0,neutral,0.0211,5.7,False,local_distributor,15,429,core,90000,2026-04-05/06 snapshot
KE2758,SKU-KE2758,"Kids Unisex Adidas Minecraft Oversized Knee Length Shorts, Green",Green,sportswear,training,unisex,4860000.0,54.0,4860000.0,54.0,26.34,0.5122,4,12,False,0.0,premium,0.0416,2.25,False,local_distributor,17,454,core,90000,2026-04-05/06 snapshot
JH3373,SKU-JH3373,"Club Tennis Climacool Tank Top, Red",Red,sportswear,training,women,4860000.0,54.0,11929500.0,132.55,64.17,0.5159,2,6,True,59.26,neutral,-0.0058,-0.31,False,local_distributor,12,453,seasonal,90000,2026-04-05/06 snapshot
KD2947,SKU-KD2947,"Workout Essentials Base Woven Short, Blue",Blue,sportswear,training,men,3960000.0,44.0,3960000.0,44.0,21.32,0.5155,5,35,False,0.0,value,-0.1032,-4.54,False,local_distributor,18,425,core,90000,2026-04-05/06 snapshot
IS1606,SKU-IS1606,"Unisex Lounge T-Shirt, Pink",Pink,sportswear,training,unisex,5490000.0,61.0,13955400.0,155.06,75.85,0.5108,1,2,True,60.66,neutral,-0.0276,-1.68,True,never,0,1383,seasonal,90000,2026-04-05/06 snapshot
KE8163,SKU-KE8163,"Mercedes - Amg Petronas Formula 1 Team Dna Graphic T-Shirt, Black",Black,sportswear,training,men,5490000.0,61.0,5490000.0,61.0,28.24,0.537,5,30,False,0.0,premium,0.1418,8.65,False,local_distributor,9,399,core,90000,2026-04-05/06 snapshot
IM0487,SKU-IM0487,"Lounge Fleece Joggers, Turquoise",Turquoise,sportswear,training,men,9450000.0,105.0,23625000.0,262.5,130.97,0.5011,1,8,True,60.0,neutral,-0.011,-1.16,True,never,0,1315,seasonal,90000,2026-04-05/06 snapshot
GK9252,SKU-GK9252,"AEROREADY Essentials Stanford Tracksuit Bottoms, Multicolour",Multicolour,sportswear,training,men,5670000.0,63.0,8712000.0,96.8,45.99,0.5249,1,12,True,34.92,premium,0.1439,9.07,False,local_distributor,17,447,seasonal,90000,2026-04-05/06 snapshot
IN1483,SKU-IN1483,"Own the Run Jacket, Black",Black,sportswear,training,men,11340000.0,126.0,14147100.0,157.19,75.78,0.5179,4,16,True,19.84,premium,0.4824,41.0,False,local_distributor,17,394,seasonal,90000,2026-04-05/06 snapshot
GS1357,SKU-GS1357,"Essentials 3-Stripes Crop Top With Removable Pads, Grey",Grey,sportswear,training,women,3960000.0,44.0,9679500.0,107.55,53.04,0.5068,1,3,True,59.09,premium,0.0752,3.31,True,never,0,1415,seasonal,90000,2026-04-05/06 snapshot
HZ4371,SKU-HZ4371,"Lounge Fleece Joggers, Grey",Grey,sportswear,training,women,9450000.0,105.0,18720000.0,208.0,100.83,0.5152,1,12,True,49.52,premium,0.1397,14.67,False,local_distributor,16,427,seasonal,90000,2026-04-05/06 snapshot
H06642,SKU-H06642,"Adicolor Classics Trefoil T-Shirt, Black",Black,sportswear,training,men,4860000.0,54.0,11929500.0,132.55,65.54,0.5055,1,3,True,59.26,neutral,0.0257,1.39,True,never,0,1307,seasonal,90000,2026-04-05/06 snapshot
IC9364,SKU-IC9364,"Essentials French Terry Big Logo Hoodie, Grey",Grey,sportswear,training,men,7920000.0,88.0,12228300.0,135.87,65.64,0.5169,2,12,True,35.23,value,-0.1984,-17.46,False,local_distributor,15,350,seasonal,90000,2026-04-05/06 snapshot
JE3078,SKU-JE3078,"Adidas Z.N.E. T-Shirt, White",White,sportswear,training,men,6030000.0,67.0,6030000.0,67.0,31.92,0.5236,3,15,False,0.0,neutral,0.0,0.0,False,local_distributor,11,423,core,90000,2026-04-05/06 snapshot
KD1445,SKU-KD1445,"Essentials Linear T-Shirt Oversized, Pink",Pink,sportswear,training,women,4860000.0,54.0,4860000.0,54.0,22.88,0.5763,5,20,False,0.0,neutral,0.0038,0.21,False,local_distributor,10,460,core,90000,2026-04-05/06 snapshot
HP1782,SKU-HP1782,"Holidayz Cozy Velour Joggers, Black",Black,sportswear,training,women,7920000.0,88.0,19914300.0,221.27,103.8,0.5309,1,6,True,60.23,premium,0.1214,10.68,True,never,0,1502,seasonal,90000,2026-04-05/06 snapshot
JP0115,SKU-JP0115,"Elements Radiate Floral Graphic T-Shirt, Black",Black,sportswear,training,women,3960000.0,44.0,6008400.0,66.76,31.48,0.5285,2,6,True,34.09,neutral,-0.0221,-0.97,False,local_distributor,16,432,seasonal,90000,2026-04-05/06 snapshot
JL9361,SKU-JL9361,"All Me Yoga Essentials Joggers, Black",Black,sportswear,training,women,6840000.0,76.0,6840000.0,76.0,32.41,0.5736,4,20,False,0.0,premium,0.0417,3.17,False,local_distributor,14,463,core,90000,2026-04-05/06 snapshot
HQ8708,SKU-HQ8708,"Campus 00s Shoes, Black",Black,lifestyle_sneakers,lifestyle,men,14310000.0,159.0,14310000.0,159.0,84.9,0.466,14,196,False,0.0,neutral,0.0,0.0,False,import,73,484,seasonal,90000,2026-04-05/06 snapshot
JQ5874,SKU-JQ5874,"Kids Unisex Samba OG Shoes, Beige",Beige,lifestyle_sneakers,lifestyle,unisex,11340000.0,126.0,11340000.0,126.0,66.28,0.474,2,16,False,0.0,premium,0.0784,9.88,False,import,77,551,seasonal,90000,2026-04-05/06 snapshot
JQ9011,SKU-JQ9011,"Stadt Shoes, Brown",Brown,lifestyle_sneakers,lifestyle,men,12420000.0,138.0,15581700.0,173.13,96.67,0.4416,4,36,True,20.29,neutral,0.0026,0.36,False,import,55,598,seasonal,90000,2026-04-05/06 snapshot
JR5758,SKU-JR5758,"Taekwondo Mei Shoes, Blue",Blue,lifestyle_sneakers,lifestyle,unisex,12150000.0,135.0,12150000.0,135.0,75.35,0.4419,2,10,False,0.0,neutral,0.0,0.0,False,import,50,502,seasonal,90000,2026-04-05/06 snapshot
JR8774,SKU-JR8774,"Sl 72 Rs Shoes, Brown",Brown,lifestyle_sneakers,lifestyle,men,14310000.0,159.0,14310000.0,159.0,86.16,0.4581,11,165,False,0.0,premium,0.1973,31.37,False,import,77,599,seasonal,90000,2026-04-05/06 snapshot
JH9976,SKU-JH9976,"Kids Unisex Superstar II Shoes, White",White,lifestyle_sneakers,lifestyle,unisex,11340000.0,126.0,11340000.0,126.0,68.32,0.4578,2,14,False,0.0,neutral,0.0,0.0,False,import,85,588,seasonal,90000,2026-04-05/06 snapshot
IE3438,SKU-IE3438,"Samba OG Shoes, Black",Black,lifestyle_sneakers,lifestyle,men,14310000.0,159.0,14310000.0,159.0,84.68,0.4674,6,42,False,0.0,neutral,0.0017,0.27,False,import,66,453,seasonal,90000,2026-04-05/06 snapshot
IH4200,SKU-IH4200,"Superstar II Shoes, Black",Black,lifestyle_sneakers,lifestyle,women,18720000.0,208.0,18720000.0,208.0,111.49,0.464,3,9,False,0.0,neutral,0.0,0.0,False,import,60,509,seasonal,90000,2026-04-05/06 snapshot
IH1507,SKU-IH1507,"Handball Spezial Shoes, Brown",Brown,lifestyle_sneakers,lifestyle,women,14310000.0,159.0,14310000.0,159.0,91.62,0.4238,6,30,False,0.0,neutral,0.0,0.0,False,import,59,480,seasonal,90000,2026-04-05/06 snapshot
IH8659,SKU-IH8659,"Unisex Superstar II Shoes, White",White,lifestyle_sneakers,lifestyle,unisex,14310000.0,159.0,14310000.0,159.0,88.86,0.4411,13,143,False,0.0,neutral,0.0,0.0,False,import,54,436,seasonal,90000,2026-04-05/06 snapshot
JI4331,SKU-JI4331,"Unisex Kids Campus 00s Elastic Lace Shoes, Black",Black,lifestyle_sneakers,lifestyle,kids,9450000.0,105.0,9450000.0,105.0,58.44,0.4434,8,48,False,0.0,neutral,0.0,0.0,False,import,47,492,seasonal,90000,2026-04-05/06 snapshot
JH7439,SKU-JH7439,"Kids Unisex Adidas Disney Stan Smith Comfort Closure Shoes, White",White,lifestyle_sneakers,lifestyle,unisex,9450000.0,105.0,14592600.0,162.14,90.01,0.4449,4,24,True,35.24,neutral,0.0033,0.35,False,import,75,586,seasonal,90000,2026-04-05/06 snapshot
IE3677,SKU-IE3677,"Kids Unisex Samba OG Shoes, White",White,lifestyle_sneakers,lifestyle,unisex,7920000.0,88.0,7920000.0,88.0,49.61,0.4363,10,80,False,0.0,neutral,-0.0112,-1.0,False,import,49,546,seasonal,90000,2026-04-05/06 snapshot
JI2581,SKU-JI2581,"Unisex adidas x NTS Radio Samba MN Shoes, Black",Black,lifestyle_sneakers,lifestyle,unisex,15840000.0,176.0,24455700.0,271.73,150.78,0.4451,2,14,True,35.23,value,-0.1824,-32.1,False,import,71,591,seasonal,90000,2026-04-05/06 snapshot
JI4335,SKU-JI4335,"Unisex Kids Campus 00s Comfort Closure Elastic Lace Shoes, Black",Black,lifestyle_sneakers,lifestyle,kids,7920000.0,88.0,7920000.0,88.0,47.76,0.4573,8,80,False,0.0,neutral,-0.0112,-1.0,False,import,81,479,seasonal,90000,2026-04-05/06 snapshot
JH9065,SKU-JH9065,"Ultraboost 5 Shoes, Beige",Beige,running_shoes,running,unisex,25830000.0,287.0,64462500.0,716.25,408.0,0.4304,2,8,True,59.93,neutral,-0.0141,-4.05,False,regional,43,478,seasonal,90000,2026-04-05/06 snapshot
KI1899,SKU-KI1899,"Adizero EVO SL, Black",Black,running_shoes,running,women,19980000.0,222.0,19980000.0,222.0,120.95,0.4552,5,40,False,0.0,value,-0.0738,-16.38,False,regional,36,482,seasonal,90000,2026-04-05/06 snapshot
IE8573,SKU-IE8573,"Unisex Kids Runfalcon 5 Shoes, Black",Black,running_shoes,running,kids,5490000.0,61.0,5490000.0,61.0,32.88,0.461,6,30,False,0.0,neutral,0.0,0.0,False,regional,28,417,seasonal,90000,2026-04-05/06 snapshot
IE0525,SKU-IE0525,"Runfalcon 5 Running Shoes, Green",Green,running_shoes,running,men,7920000.0,88.0,7920000.0,88.0,48.22,0.452,3,9,False,0.0,neutral,-0.0112,-1.0,False,regional,41,381,seasonal,90000,2026-04-05/06 snapshot
JH9242,SKU-JH9242,"Kids Unisex Tensaur Switch Shoes, Black",Black,running_shoes,running,unisex,5490000.0,61.0,5490000.0,61.0,34.1,0.441,6,24,False,0.0,neutral,0.0,0.0,False,regional,45,407,seasonal,90000,2026-04-05/06 snapshot
JQ5167,SKU-JQ5167,"Kids Unisex Fortarun 4.0 Shoes, Black",Black,running_shoes,running,unisex,7200000.0,80.0,7200000.0,80.0,44.35,0.4456,1,4,False,0.0,premium,0.0779,6.23,False,regional,45,488,seasonal,90000,2026-04-05/06 snapshot
IH6705,SKU-IH6705,"RUNBLAZE Shoe, Blue",Blue,running_shoes,running,men,6570000.0,73.0,6570000.0,73.0,37.67,0.484,8,56,False,0.0,premium,0.0883,6.45,False,regional,28,425,seasonal,90000,2026-04-05/06 snapshot
JP7147,SKU-JP7147,"Adizero EVO SL Shoes, Black",Black,running_shoes,running,women,19980000.0,222.0,19980000.0,222.0,111.5,0.4977,9,54,False,0.0,neutral,-0.0045,-1.0,False,regional,43,512,seasonal,90000,2026-04-05/06 snapshot
IE0552,SKU-IE0552,"Runfalcon 5 Wide Running Shoes, Black",Black,running_shoes,running,men,7920000.0,88.0,7920000.0,88.0,45.94,0.478,10,80,False,0.0,neutral,0.0212,1.87,False,regional,35,392,seasonal,90000,2026-04-05/06 snapshot
JR0318,SKU-JR0318,"Adistar 4 Running Shoes, Black",Black,running_shoes,running,men,18720000.0,208.0,18720000.0,208.0,107.9,0.4812,6,60,False,0.0,neutral,-0.0149,-3.1,False,regional,38,443,seasonal,90000,2026-04-05/06 snapshot
IH8231,SKU-IH8231,"Duramo SL 2 Running Shoes, Black",Black,running_shoes,running,women,8550000.0,95.0,8550000.0,95.0,48.9,0.4853,8,64,False,0.0,value,-0.1914,-18.18,False,regional,24,496,seasonal,90000,2026-04-05/06 snapshot
JQ7693,SKU-JQ7693,"Supernova Rise 2 Running Shoes, Purple",Purple,running_shoes,running,women,18720000.0,208.0,18720000.0,208.0,117.73,0.434,5,20,False,0.0,neutral,0.0198,4.12,False,regional,25,498,seasonal,90000,2026-04-05/06 snapshot
HQ4515,SKU-HQ4515,"Unisex X CRAZYFAST.3 LL FG, White",White,training,training,unisex,13680000.0,152.0,17044200.0,189.38,93.75,0.505,4,32,True,19.74,premium,0.0867,13.18,False,regional,42,505,seasonal,90000,2026-04-05/06 snapshot
JR3312,SKU-JR3312,"Kids Unisex PREDATOR LEAGUE Fold-Over Tongue Firm Ground Football Boots, Grey",Grey,training,training,unisex,11340000.0,126.0,11340000.0,126.0,66.17,0.4748,10,110,False,0.0,neutral,0.0,0.0,False,regional,38,451,seasonal,90000,2026-04-05/06 snapshot
IF4987,SKU-IF4987,"Unisex Unity Leather Mid Cold.Rdy Hiking Shoes, Black",Black,training,training,unisex,14310000.0,159.0,22090500.0,245.45,138.98,0.4338,5,30,True,35.22,premium,0.1966,31.26,False,regional,45,483,seasonal,90000,2026-04-05/06 snapshot
JR3462,SKU-JR3462,"Lightblaze Shoes, White",White,training,training,men,13680000.0,152.0,21004200.0,233.38,129.72,0.4442,4,36,True,34.87,premium,0.1051,15.98,False,regional,40,499,seasonal,90000,2026-04-05/06 snapshot
GW8747,SKU-GW8747,"Unisex Adilette Shower Slides, Black",Black,training,training,unisex,3960000.0,44.0,4977900.0,55.31,27.47,0.5033,7,63,True,20.45,neutral,0.0037,0.16,False,regional,34,510,seasonal,90000,2026-04-05/06 snapshot
HQ4534,SKU-HQ4534,"Unisex Crazyfast.3 Firm Ground Boots, White",White,training,training,unisex,12870000.0,143.0,16144200.0,179.38,100.16,0.4416,8,56,True,20.28,premium,0.1907,27.27,False,regional,35,410,seasonal,90000,2026-04-05/06 snapshot
GY9353,SKU-GY9353,"Ultraboost Light Shoes, Black",Black,training,training,women,25830000.0,287.0,51485400.0,572.06,314.97,0.4494,6,48,True,49.83,neutral,-0.0211,-6.06,False,regional,44,491,seasonal,90000,2026-04-05/06 snapshot
JS3686,SKU-JS3686,"Kids Unisex Breaknet 3.0 Shoes, White",White,training,training,unisex,5490000.0,61.0,5490000.0,61.0,31.7,0.4803,1,6,False,0.0,neutral,0.0,0.0,False,regional,35,436,seasonal,90000,2026-04-05/06 snapshot
IG7711,SKU-IG7711,"Unisex Predator Club Turf Football Boots, Black",Black,training,training,unisex,7920000.0,88.0,9955800.0,110.62,62.22,0.4375,3,24,True,20.45,premium,0.0928,8.17,False,regional,45,433,seasonal,90000,2026-04-05/06 snapshot
JH9315,SKU-JH9315,"Lightshift Shoes, Black",Black,training,training,men,9990000.0,111.0,9990000.0,111.0,57.83,0.479,7,70,False,0.0,neutral,-0.0042,-0.47,False,regional,41,440,seasonal,90000,2026-04-05/06 snapshot
HM8314,SKU-HM8314,"Unisex Classic Badge of Sport Backpack, Pink",Pink,accessories,lifestyle,unisex,3690000.0,41.0,4584600.0,50.94,21.86,0.5709,1,13,True,19.51,premium,0.092,3.77,False,local_distributor,19,613,seasonal,90000,2026-04-05/06 snapshot
JD8028,SKU-JD8028,"Unisex World Cup 26 Trionda Club Ball, White",White,accessories,lifestyle,unisex,3330000.0,37.0,3330000.0,37.0,16.27,0.5603,2,10,False,0.0,value,-0.0347,-1.28,False,local_distributor,14,640,core,90000,2026-04-05/06 snapshot
JH1286,SKU-JH1286,"UCL Club 24/25 Knockout Stages Ball, Blue",Blue,accessories,lifestyle,men,3330000.0,37.0,3330000.0,37.0,14.43,0.61,1,7,False,0.0,premium,0.0908,3.36,False,local_distributor,10,550,core,90000,2026-04-05/06 snapshot
HS7259,SKU-HS7259,"Yoga Essentials Bra, Black",Black,accessories,lifestyle,women,5490000.0,61.0,13955400.0,155.06,63.72,0.5891,1,8,True,60.66,neutral,0.01,0.61,True,never,0,1325,seasonal,90000,2026-04-05/06 snapshot
KA6840,SKU-KA6840,"Unisex Performance Water Bottle 0.5 L, Turquoise",Turquoise,accessories,lifestyle,unisex,1080000.0,12.0,1296000.0,14.4,6.48,0.55,1,10,True,16.67,premium,0.1252,1.5,False,local_distributor,8,553,seasonal,90000,2026-04-05/06 snapshot
JV7442,SKU-JV7442,"Unisex Low Cut Socks 3 Pairs, Black",Black,accessories,lifestyle,unisex,1980000.0,22.0,1980000.0,22.0,8.82,0.5991,4,16,False,0.0,neutral,0.0284,0.62,False,local_distributor,10,549,core,90000,2026-04-05/06 snapshot
KC8038,SKU-KC8038,"Unisex Adicolor Classic Trefoil Baseball Cap, Pink",Pink,accessories,lifestyle,unisex,2520000.0,28.0,2520000.0,28.0,10.05,0.6411,1,5,False,0.0,neutral,0.0255,0.71,False,local_distributor,12,561,core,90000,2026-04-05/06 snapshot
JX1126,SKU-JX1126,"Unisex Arsenal Baseball Cap, Red",Red,accessories,lifestyle,unisex,3690000.0,41.0,3690000.0,41.0,14.54,0.6454,1,5,False,0.0,premium,0.0576,2.36,False,local_distributor,21,618,core,90000,2026-04-05/06 snapshot
FM9935,SKU-FM9935,"Unisex Performance Water Bottle - 0.5 L, Black",Black,accessories,lifestyle,unisex,1080000.0,12.0,1296000.0,14.4,5.84,0.5944,1,14,True,16.67,neutral,-0.0194,-0.23,False,local_distributor,8,515,seasonal,90000,2026-04-05/06 snapshot
JX1635,SKU-JX1635,"Unisex Real Madrid Home Baseball Cap, White",White,accessories,lifestyle,unisex,3690000.0,41.0,3690000.0,41.0,16.92,0.5873,1,10,False,0.0,neutral,-0.0192,-0.79,False,local_distributor,9,539,core,90000,2026-04-05/06 snapshot
JQ0937,SKU-JQ0937,"Unisex F50 MESSI LEAGUE Turf Football Shoes, White",White,football_boots,football,unisex,13230000.0,147.0,13230000.0,147.0,82.81,0.4367,12,156,False,0.0,value,-0.067,-9.85,False,import,69,439,seasonal,90000,2026-04-05/06 snapshot
ID3752,SKU-ID3752,"Kids Unisex Predator League Firm/Multi-Ground Boots, White",White,football_boots,football,unisex,9450000.0,105.0,47250000.0,525.0,292.37,0.4431,2,12,True,80.0,neutral,0.0102,1.07,False,import,90,454,seasonal,90000,2026-04-05/06 snapshot
JS0425,SKU-JS0425,"Unisex Predator League Fold-Over Tongue Firm Ground Football Boots, Black",Black,football_boots,football,unisex,14310000.0,159.0,14310000.0,159.0,80.31,0.4949,11,154,False,0.0,neutral,-0.0151,-2.4,False,import,49,506,seasonal,90000,2026-04-05/06 snapshot
JH8854,SKU-JH8854,"Unisex Predator Club Turf Boots, White",White,football_boots,football,unisex,7920000.0,88.0,9955800.0,110.62,61.42,0.4448,10,150,True,20.45,premium,0.1492,13.13,False,import,71,484,seasonal,90000,2026-04-05/06 snapshot
JR2852,SKU-JR2852,"Unisex Copa Pure 3 League Turf Boots, Black",Black,football_boots,football,unisex,11340000.0,126.0,11340000.0,126.0,73.04,0.4203,11,88,False,0.0,neutral,0.0,0.0,False,import,79,519,seasonal,90000,2026-04-05/06 snapshot
HB4362,SKU-HB4362,"Unisex Kids Essentials Two-Colored Big Logo Cotton Hoodie, Grey",Grey,kids,mixed,kids,5490000.0,61.0,10802700.0,120.03,57.75,0.5189,1,14,True,49.18,premium,0.0366,2.23,False,regional,34,395,seasonal,90000,2026-04-05/06 snapshot
IG5442,SKU-IG5442,"Unisex Kids Predator 24 League Turf Boots, Black",Black,kids,mixed,kids,10890000.0,121.0,13583700.0,150.93,82.84,0.4511,14,140,True,19.83,neutral,-0.018,-2.18,False,regional,27,487,seasonal,90000,2026-04-05/06 snapshot
GN3999,SKU-GN3999,"Kids Essentials T-Shirt, Black",Black,kids,mixed,boys,2880000.0,32.0,3544200.0,39.38,19.47,0.5056,2,4,True,18.75,value,-0.1406,-4.5,False,regional,33,529,seasonal,90000,2026-04-05/06 snapshot
